1,Goroka Airport,Goroka,Papua New Guinea,GKA,-6.0816898346,145.391998291
2,Madang Airport,Madang,Papua New Guinea,MAG,-5.2070798874,145.789001465
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789856,144.296005249
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.4433803558,147.2200012207
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.5838301182,143.669006348
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.6781005859
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647
10,Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.7032012939
11,Akureyri Airport,Akureyri,Iceland,AEY,65.6600036621,-18.0727005005
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.2833023071,-14.4013996124
13,Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
14,Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.0580978394,-23.1352996826
16,Keflavik International Airport,Keflavik,Iceland,KEF,63.9850006104,-22.6056003571
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
18,Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.4243011475,-20.2789001465
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.4850006104,-84.5093994141
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,50.0564002991,-97.0325012207
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,44.6397018433,-63.4994010925
24,St. Anthony Airport,St. Anthony,Canada,YAY,51.3918991089,-56.0830993652
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,49.1324996948,-68.2043991089
28,CFB Bagotville,Bagotville,Canada,YBG,48.3306007385,-70.9963989258
29,Baker Lake Airport,Baker Lake,Canada,YBK,64.2988967896,-96.077796936
30,Campbell River Airport,Campbell River,Canada,YBL,49.9508018494,-125.2710037231
31,Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.138000488
33,Nanaimo Airport,Nanaimo,Canada,YCD,49.0549702249,-123.869862556
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.2963981628,-117.632003784
35,Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
36,Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
37,Kugluktuk Airport,Coppermine,Canada,YCO,67.8167037964,-115.143997192
38,Coronation Airport,Coronation,Canada,YCT,52.0750007629,-111.444999695
39,Chilliwack Airport,Chilliwack,Canada,YCW,49.1528015137,-121.939002991
40,Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882
42,Dawson City Airport,Dawson,Canada,YDA,64.0430984497,-139.1280059814
43,Burwash Airport,Burwash,Canada,YDB,61.3711013794,-139.0410003662
44,Princeton Airport,Princeton,Canada,YDC,49.4681015015,-120.511001587
45,Deer Lake Airport,Deer Lake,Canada,YDF,49.2108001709,-57.3913993835
46,Dease Lake Airport,Dease Lake,Canada,YDL,58.4221992493,-130.031997681
